,label_cli,ProdutoId,Unnamed: 0,DescontoIR__c,DescricaoCarencia__c,DescricaoEmissor__c,DescricaoProduto__c,DiasVencimento__c,FiltroValorMinimo__c,RiscoAtivo__c,TaxaEmissao__c,TaxaPreEmissao__c,TipoIndexador__c,Indice_Basileia,Indice_Imobilizacao,label
65,0,a0W3u000009PDzNEAW,27,15.0,No venc.,BANCO MÁXIMA S.A.,CDB POS 1,1802.0,1000.0,5.0,134.0,0.0,CDI,0.0322,0.2625,3
66,2,a0W3u000009PDzNEAW,27,15.0,No venc.,BANCO MÁXIMA S.A.,CDB POS 1,1802.0,1000.0,5.0,134.0,0.0,CDI,0.0322,0.2625,3
67,3,a0W3u000009PDzNEAW,27,15.0,No venc.,BANCO MÁXIMA S.A.,CDB POS 1,1802.0,1000.0,5.0,134.0,0.0,CDI,0.0322,0.2625,3
68,0,a0W3u000009PDzSEAW,28,17.5,No venc.,BANCO MÁXIMA S.A.,CDB PRE 1,361.0,1000.0,5.0,0.0,6.5,Pré fixado,0.0322,0.2625,2
69,1,a0W3u000009PDzSEAW,28,17.5,No venc.,BANCO MÁXIMA S.A.,CDB PRE 1,361.0,1000.0,5.0,0.0,6.5,Pré fixado,0.0322,0.2625,2
70,2,a0W3u000009PDzSEAW,28,17.5,No venc.,BANCO MÁXIMA S.A.,CDB PRE 1,361.0,1000.0,5.0,0.0,6.5,Pré fixado,0.0322,0.2625,2
71,5,a0W3u000009PDzSEAW,28,17.5,No venc.,BANCO MÁXIMA S.A.,CDB PRE 1,361.0,1000.0,5.0,0.0,6.5,Pré fixado,0.0322,0.2625,2
72,6,a0W3u000009PDzSEAW,28,17.5,No venc.,BANCO MÁXIMA S.A.,CDB PRE 1,361.0,1000.0,5.0,0.0,6.5,Pré fixado,0.0322,0.2625,2
73,0,a0W3u00000AdEE5EAN,31,15.0,Qualquer dia,BANCO INDUSVAL S.A.,CDB POS,721.0,5000.0,3.0,105.0,0.0,CDI,0.0197,1.0,0
74,2,a0W3u00000AdEE5EAN,31,15.0,Qualquer dia,BANCO INDUSVAL S.A.,CDB POS,721.0,5000.0,3.0,105.0,0.0,CDI,0.0197,1.0,0
75,3,a0W3u00000AdEE5EAN,31,15.0,Qualquer dia,BANCO INDUSVAL S.A.,CDB POS,721.0,5000.0,3.0,105.0,0.0,CDI,0.0197,1.0,0
76,4,a0W3u00000AdEE5EAN,31,15.0,Qualquer dia,BANCO INDUSVAL S.A.,CDB POS,721.0,5000.0,3.0,105.0,0.0,CDI,0.0197,1.0,0
77,5,a0W3u00000AdEE5EAN,31,15.0,Qualquer dia,BANCO INDUSVAL S.A.,CDB POS,721.0,5000.0,3.0,105.0,0.0,CDI,0.0197,1.0,0
78,6,a0W3u00000AdEE5EAN,31,15.0,Qualquer dia,BANCO INDUSVAL S.A.,CDB POS,721.0,5000.0,3.0,105.0,0.0,CDI,0.0197,1.0,0
79,0,a0W3u00000AdFMuEAN,33,17.5,A partir de 91 dias,POUPEX ASSOCIAÇÃO DE POUPANÇA E EMPRÉSTIMO,LCI POS,367.0,1000.0,2.0,94.0,0.0,CDI,0.2958,0.0135,4
80,1,a0W3u00000AdFMuEAN,33,17.5,A partir de 91 dias,POUPEX ASSOCIAÇÃO DE POUPANÇA E EMPRÉSTIMO,LCI POS,367.0,1000.0,2.0,94.0,0.0,CDI,0.2958,0.0135,4
81,2,a0W3u00000AdFMuEAN,33,17.5,A partir de 91 dias,POUPEX ASSOCIAÇÃO DE POUPANÇA E EMPRÉSTIMO,LCI POS,367.0,1000.0,2.0,94.0,0.0,CDI,0.2958,0.0135,4
82,3,a0W3u00000AdFMuEAN,33,17.5,A partir de 91 dias,POUPEX ASSOCIAÇÃO DE POUPANÇA E EMPRÉSTIMO,LCI POS,367.0,1000.0,2.0,94.0,0.0,CDI,0.2958,0.0135,4
83,4,a0W3u00000AdFMuEAN,33,17.5,A partir de 91 dias,POUPEX ASSOCIAÇÃO DE POUPANÇA E EMPRÉSTIMO,LCI POS,367.0,1000.0,2.0,94.0,0.0,CDI,0.2958,0.0135,4
84,5,a0W3u00000AdFMuEAN,33,17.5,A partir de 91 dias,POUPEX ASSOCIAÇÃO DE POUPANÇA E EMPRÉSTIMO,LCI POS,367.0,1000.0,2.0,94.0,0.0,CDI,0.2958,0.0135,4
85,6,a0W3u00000AdFMuEAN,33,17.5,A partir de 91 dias,POUPEX ASSOCIAÇÃO DE POUPANÇA E EMPRÉSTIMO,LCI POS,367.0,1000.0,2.0,94.0,0.0,CDI,0.2958,0.0135,4
86,0,a0W3u00000AdM1OEAV,36,20.0,No venc.,BANCO BS2 S.A.,CDB POS,181.0,1000.0,2.0,110.0,0.0,CDI,0.1132,0.1739,4
87,2,a0W3u00000AdM1OEAV,36,20.0,No venc.,BANCO BS2 S.A.,CDB POS,181.0,1000.0,2.0,110.0,0.0,CDI,0.1132,0.1739,4
88,3,a0W3u00000AdM1OEAV,36,20.0,No venc.,BANCO BS2 S.A.,CDB POS,181.0,1000.0,2.0,110.0,0.0,CDI,0.1132,0.1739,4
89,5,a0W3u00000AdM1OEAV,36,20.0,No venc.,BANCO BS2 S.A.,CDB POS,181.0,1000.0,2.0,110.0,0.0,CDI,0.1132,0.1739,4
90,6,a0W3u00000AdM1OEAV,36,20.0,No venc.,BANCO BS2 S.A.,CDB POS,181.0,1000.0,2.0,110.0,0.0,CDI,0.1132,0.1739,4
91,0,a0W3u00000AdM1TEAV,37,17.5,No venc.,BANCO BS2 S.A.,CDB POS,361.0,1000.0,2.0,112.0,0.0,CDI,0.1132,0.1739,4
92,2,a0W3u00000AdM1TEAV,37,17.5,No venc.,BANCO BS2 S.A.,CDB POS,361.0,1000.0,2.0,112.0,0.0,CDI,0.1132,0.1739,4
93,3,a0W3u00000AdM1TEAV,37,17.5,No venc.,BANCO BS2 S.A.,CDB POS,361.0,1000.0,2.0,112.0,0.0,CDI,0.1132,0.1739,4
94,4,a0W3u00000AdM1TEAV,37,17.5,No venc.,BANCO BS2 S.A.,CDB POS,361.0,1000.0,2.0,112.0,0.0,CDI,0.1132,0.1739,4
95,5,a0W3u00000AdM1TEAV,37,17.5,No venc.,BANCO BS2 S.A.,CDB POS,361.0,1000.0,2.0,112.0,0.0,CDI,0.1132,0.1739,4
96,6,a0W3u00000AdM1TEAV,37,17.5,No venc.,BANCO BS2 S.A.,CDB POS,361.0,1000.0,2.0,112.0,0.0,CDI,0.1132,0.1739,4
97,0,a0W3u00000AdMYTEA3,39,15.0,No venc.,BANCO BMG S.A.,CDB PRE 1,1081.0,1000.0,3.0,0.0,6.79,Pré fixado,0.138,0.1906,0
98,0,a0W3u00000AdNXWEA3,41,20.0,No venc.,BANCO DAYCOVAL,CDB POS,181.0,20000.0,1.0,104.0,0.0,CDI,0.1577,0.2419,1
99,1,a0W3u00000AdNXWEA3,41,20.0,No venc.,BANCO DAYCOVAL,CDB POS,181.0,20000.0,1.0,104.0,0.0,CDI,0.1577,0.2419,1
100,2,a0W3u00000AdNXWEA3,41,20.0,No venc.,BANCO DAYCOVAL,CDB POS,181.0,20000.0,1.0,104.0,0.0,CDI,0.1577,0.2419,1
101,3,a0W3u00000AdNXWEA3,41,20.0,No venc.,BANCO DAYCOVAL,CDB POS,181.0,20000.0,1.0,104.0,0.0,CDI,0.1577,0.2419,1
102,6,a0W3u00000AdNXWEA3,41,20.0,No venc.,BANCO DAYCOVAL,CDB POS,181.0,20000.0,1.0,104.0,0.0,CDI,0.1577,0.2419,1
103,0,a0W3u00000AdQ4vEAF,57,20.0,No venc.,BANCO FIBRA S.A.,LCA POS,210.0,10000.0,2.0,99.0,0.0,CDI,0.1202,0.0211,1
104,1,a0W3u00000AdQ4vEAF,57,20.0,No venc.,BANCO FIBRA S.A.,LCA POS,210.0,10000.0,2.0,99.0,0.0,CDI,0.1202,0.0211,1
105,3,a0W3u00000AdQ4vEAF,57,20.0,No venc.,BANCO FIBRA S.A.,LCA POS,210.0,10000.0,2.0,99.0,0.0,CDI,0.1202,0.0211,1
106,4,a0W3u00000AdQ4vEAF,57,20.0,No venc.,BANCO FIBRA S.A.,LCA POS,210.0,10000.0,2.0,99.0,0.0,CDI,0.1202,0.0211,1
107,0,a0W3u00000CWFEtEAP,60,15.0,No venc.,BANCO MÁXIMA S.A.,CDB PRE 1,2520.0,1000.0,5.0,0.0,10.0,Pré fixado,0.0322,0.2625,3
108,3,a0W3u00000CWFEtEAP,60,15.0,No venc.,BANCO MÁXIMA S.A.,CDB PRE 1,2520.0,1000.0,5.0,0.0,10.0,Pré fixado,0.0322,0.2625,3
109,5,a0W3u00000CWFEtEAP,60,15.0,No venc.,BANCO MÁXIMA S.A.,CDB PRE 1,2520.0,1000.0,5.0,0.0,10.0,Pré fixado,0.0322,0.2625,3
110,6,a0W3u00000CWFEtEAP,60,15.0,No venc.,BANCO MÁXIMA S.A.,CDB PRE 1,2520.0,1000.0,5.0,0.0,10.0,Pré fixado,0.0322,0.2625,3
111,0,a0W3u00000CWFQJEA5,68,15.0,No venc.,CARUANA S.A.,LC PRE,1825.0,1000.0,3.0,0.0,7.75,Pré fixado,0.1315,0.0126,0
112,5,a0W3u00000CWFQJEA5,68,15.0,No venc.,CARUANA S.A.,LC PRE,1825.0,1000.0,3.0,0.0,7.75,Pré fixado,0.1315,0.0126,0
113,0,a0W3u00000CWFVTEA5,71,15.0,No venc.,BANCO GMAC S.A.,CDB POS,721.0,1000.0,1.0,105.0,0.0,CDI,0.2441,0.0638,4
114,2,a0W3u00000CWFVTEA5,71,15.0,No venc.,BANCO GMAC S.A.,CDB POS,721.0,1000.0,1.0,105.0,0.0,CDI,0.2441,0.0638,4
115,3,a0W3u00000CWFVTEA5,71,15.0,No venc.,BANCO GMAC S.A.,CDB POS,721.0,1000.0,1.0,105.0,0.0,CDI,0.2441,0.0638,4
116,5,a0W3u00000CWFVTEA5,71,15.0,No venc.,BANCO GMAC S.A.,CDB POS,721.0,1000.0,1.0,105.0,0.0,CDI,0.2441,0.0638,4
