,label_cli,ProdutoId,Unnamed: 0,DescricaoTaxaPerformance__c,DescricaoTributacao__c,FamiliaCarteira__c,FiltroValorMinimo__c,LucroMesAnterior__c,PatrimonioLiquidoAtual__c,RentabilidadeAno__c,RentabilidadeFundoUltimos36Meses__c,RentabilidadeMes__c,RiscoAtivo__c,TipoCarteira__c,label
61,1,a0W3u00000AdDtWEAV,26,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,77417819.0,6819272828.0,193662524.0,9270198333.0,115351678.0,5.0,FIC de Fundo de Ações,0
62,2,a0W3u00000AdDtWEAV,26,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,77417819.0,6819272828.0,193662524.0,9270198333.0,115351678.0,5.0,FIC de Fundo de Ações,0
63,3,a0W3u00000AdDtWEAV,26,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,77417819.0,6819272828.0,193662524.0,9270198333.0,115351678.0,5.0,FIC de Fundo de Ações,0
64,4,a0W3u00000AdDtWEAV,26,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,77417819.0,6819272828.0,193662524.0,9270198333.0,115351678.0,5.0,FIC de Fundo de Ações,0
65,5,a0W3u00000AdDtWEAV,26,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,77417819.0,6819272828.0,193662524.0,9270198333.0,115351678.0,5.0,FIC de Fundo de Ações,0
66,6,a0W3u00000AdDtWEAV,26,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,77417819.0,6819272828.0,193662524.0,9270198333.0,115351678.0,5.0,FIC de Fundo de Ações,0
67,0,a0W3u00000AdEFNEA3,29,Não,Come Cotas,Renda Fixa,10000.0,33902555.0,88861672845.0,34982188.0,2232569167.0,1075986.0,2.0,Fundo de Renda Fixa,1
68,1,a0W3u00000AdEFNEA3,29,Não,Come Cotas,Renda Fixa,10000.0,33902555.0,88861672845.0,34982188.0,2232569167.0,1075986.0,2.0,Fundo de Renda Fixa,1
69,2,a0W3u00000AdEFNEA3,29,Não,Come Cotas,Renda Fixa,10000.0,33902555.0,88861672845.0,34982188.0,2232569167.0,1075986.0,2.0,Fundo de Renda Fixa,1
70,3,a0W3u00000AdEFNEA3,29,Não,Come Cotas,Renda Fixa,10000.0,33902555.0,88861672845.0,34982188.0,2232569167.0,1075986.0,2.0,Fundo de Renda Fixa,1
71,4,a0W3u00000AdEFNEA3,29,Não,Come Cotas,Renda Fixa,10000.0,33902555.0,88861672845.0,34982188.0,2232569167.0,1075986.0,2.0,Fundo de Renda Fixa,1
72,5,a0W3u00000AdEFNEA3,29,Não,Come Cotas,Renda Fixa,10000.0,33902555.0,88861672845.0,34982188.0,2232569167.0,1075986.0,2.0,Fundo de Renda Fixa,1
73,6,a0W3u00000AdEFNEA3,29,Não,Come Cotas,Renda Fixa,10000.0,33902555.0,88861672845.0,34982188.0,2232569167.0,1075986.0,2.0,Fundo de Renda Fixa,1
74,0,a0W3u00000AdFaXEAV,33,Não,Come Cotas,Renda Fixa,1000.0,4546831.0,10858497082.0,48348429.0,0.0,2867083.0,4.0,FIC de Fundo Multimercado,1
75,1,a0W3u00000AdFaXEAV,33,Não,Come Cotas,Renda Fixa,1000.0,4546831.0,10858497082.0,48348429.0,0.0,2867083.0,4.0,FIC de Fundo Multimercado,1
76,2,a0W3u00000AdFaXEAV,33,Não,Come Cotas,Renda Fixa,1000.0,4546831.0,10858497082.0,48348429.0,0.0,2867083.0,4.0,FIC de Fundo Multimercado,1
77,3,a0W3u00000AdFaXEAV,33,Não,Come Cotas,Renda Fixa,1000.0,4546831.0,10858497082.0,48348429.0,0.0,2867083.0,4.0,FIC de Fundo Multimercado,1
78,4,a0W3u00000AdFaXEAV,33,Não,Come Cotas,Renda Fixa,1000.0,4546831.0,10858497082.0,48348429.0,0.0,2867083.0,4.0,FIC de Fundo Multimercado,1
79,5,a0W3u00000AdFaXEAV,33,Não,Come Cotas,Renda Fixa,1000.0,4546831.0,10858497082.0,48348429.0,0.0,2867083.0,4.0,FIC de Fundo Multimercado,1
80,6,a0W3u00000AdFaXEAV,33,Não,Come Cotas,Renda Fixa,1000.0,4546831.0,10858497082.0,48348429.0,0.0,2867083.0,4.0,FIC de Fundo Multimercado,1
81,0,a0W3u00000AdFxlEAF,38,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,100000.0,178541155.0,17952956685.0,432504944.0,1225728064.0,249509026.0,5.0,Fundo de Ações,0
82,1,a0W3u00000AdFxlEAF,38,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,100000.0,178541155.0,17952956685.0,432504944.0,1225728064.0,249509026.0,5.0,Fundo de Ações,0
83,2,a0W3u00000AdFxlEAF,38,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,100000.0,178541155.0,17952956685.0,432504944.0,1225728064.0,249509026.0,5.0,Fundo de Ações,0
84,4,a0W3u00000AdFxlEAF,38,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,100000.0,178541155.0,17952956685.0,432504944.0,1225728064.0,249509026.0,5.0,Fundo de Ações,0
85,5,a0W3u00000AdFxlEAF,38,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,100000.0,178541155.0,17952956685.0,432504944.0,1225728064.0,249509026.0,5.0,Fundo de Ações,0
86,6,a0W3u00000AdFxlEAF,38,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,100000.0,178541155.0,17952956685.0,432504944.0,1225728064.0,249509026.0,5.0,Fundo de Ações,0
87,0,a0W3u00000AdGGqEAN,42,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,90011608.0,10679498852.0,282804536.0,9775060498.0,191073048.0,5.0,FIC de Fundo de Ações,0
88,1,a0W3u00000AdGGqEAN,42,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,90011608.0,10679498852.0,282804536.0,9775060498.0,191073048.0,5.0,FIC de Fundo de Ações,0
