DescontoIR__c;DescricaoCarencia__c;DescricaoEmissor__c;DescricaoProduto__c;DiasVencimento__c;FiltroValorMinimo__c;RiscoAtivo__c;TaxaEmissao__c;TaxaPreEmissao__c;TipoIndexador__c
15.0;No venc.;BANCO RENNER S.A;CDB PRE 1;1802.0;5000.0;0.0;0.0;7.68;Pré fixado
20.0;No venc.;BANCO PINE S.A.;CDB POS;181.0;5000.0;2.0;106.0;0.0;CDI
17.5;No venc.;BANCO PINE S.A.;CDB POS;361.0;5000.0;2.0;111.0;0.0;CDI
20.0;No venc.;BANCO FATOR S.A.;CDB POS;181.0;10000.0;2.0;102.0;0.0;CDI
17.5;No venc.;BANCO FATOR S.A.;CDB POS;362.0;10000.0;2.0;105.0;0.0;CDI
15.0;No venc.;BANCO FATOR S.A.;CDB POS;721.0;10000.0;3.0;110.0;0.0;CDI
15.0;No venc.;BANCO FATOR S.A.;CDB POS;1081.0;10000.0;3.0;112.0;0.0;CDI
15.0;Qualquer dia;BANCO CAIXA GERAL BRASIL S/A;CDB POS;721.0;10000.0;1.0;95.0;0.0;CDI
20.0;No venc.;BANCO CAIXA GERAL BRASIL S/A;CDB POS;181.0;10000.0;1.0;104.0;0.0;CDI
17.5;No venc.;BANCO CAIXA GERAL BRASIL S/A;CDB POS;361.0;10000.0;1.0;107.5;0.0;CDI
15.0;No venc.;BANCO CAIXA GERAL BRASIL S/A;CDB POS;721.0;10000.0;2.0;110.5;0.0;CDI
15.0;No venc.;BANCO CAIXA GERAL BRASIL S/A;CDB POS;1081.0;10000.0;2.0;110.5;0.0;CDI
17.5;No venc.;BANCO SANTANDER (BRASIL) S.A.;CDB POS;361.0;1000.0;1.0;95.0;0.0;CDI
15.0;No venc.;BANCO SANTANDER (BRASIL) S.A.;CDB POS;721.0;1000.0;1.0;96.0;0.0;CDI
15.0;No venc.;BANCO SANTANDER (BRASIL) S.A.;CDB POS;1081.0;1000.0;2.0;97.0;0.0;CDI
17.5;No venc.;BANCO SANTANDER (BRASIL) S.A.;LCI POS;361.0;5000.0;1.0;89.0;0.0;CDI
15.0;No venc.;BANCO SANTANDER (BRASIL) S.A.;LCI POS;721.0;5000.0;1.0;92.0;0.0;CDI
15.0;No venc.;BANCO MODAL S.A;CDB POS;1096.0;10000.0;2.0;116.25;0.0;CDI
