"ProdutoId";"TipoCarteira__c";"NomeInvestimento__c"
a0W3u000009PDv6EAG;"";LC
a0W3u000009PDvBEAW;"";LC
a0W3u000009PDvGEAW;"";LC
a0W3u000009PDvLEAW;"";LC
a0W3u000009PDvkEAG;"";LCA
a0W3u000009PDvpEAG;"";CDB
a0W3u000009PDvuEAG;"";CDB
a0W3u000009PDvzEAG;"";CDB
a0W3u000009PDw4EAG;"";CDB
a0W3u000009PDw9EAG;"";CDB
a0W3u000009PDwEEAW;"";CDB
a0W3u000009PDwJEAW;"";CDB
a0W3u000009PDwOEAW;"";LCI
a0W3u000009PDwTEAW;"";LCI
a0W3u000009PDwYEAW;"";CDB
a0W3u000009PDwdEAG;"";CDB
a0W3u000009PDwnEAG;"";CDB
a0W3u000009PDwsEAG;"";CDB
a0W3u000009PDwxEAG;"";CDB
a0W3u000009PDx2EAG;"";CDB
a0W3u000009PDx7EAG;"";CDB
a0W3u000009PDxCEAW;"";CDB
a0W3u000009PDxHEAW;"";CDB
a0W3u000009PDxMEAW;"";CDB
a0W3u000009PDxREAW;"";CDB
a0W3u000009PDxbEAG;"";CDB
a0W3u000009PDxgEAG;"";CDB
a0W3u000009PDxlEAG;"";CDB
a0W3u000009PDxqEAG;"";CDB
a0W3u000009PDxvEAG;"";CDB
a0W3u000009PDyUEAW;"";CDB
a0W3u000009PDyZEAW;"";CDB
a0W3u000009PDz3EAG;"";CDB
a0W3u000009PDz8EAG;"";CDB
a0W3u000009PDzDEAW;"";CDB
a0W3u000009PDzIEAW;"";CDB
a0W3u000009PDzNEAW;"";CDB
a0W3u000009PDzSEAW;"";CDB
a0W3u000009PDzXEAW;"";CDB
a0W3u000009PDzcEAG;FIC de Fundo Multimercado;FRANKLIN K2 ALTERNATIVE STRATEGIES FIC F
a0W3u000009PDzhEAG;"";CDB
a0W3u000009PDzmEAG;"";CDB
a0W3u000009PDzwEAG;"";CDB
a0W3u000009PE01EAG;"";CDB
a0W3u000009PE06EAG;"";CDB
a0W3u000009PE0BEAW;"";CDB
a0W3u000009PE0GEAW;FIC de Fundo de Ações;FRANKLIN VALOR E LIQUIDEZ FVL FIC FIA
a0W3u000009PE2REAW;"";LC
a0W3u000009PE2WEAW;"";CDB
a0W3u000009PE2bEAG;"";CDB
a0W3u000009PE2gEAG;"";CDB
a0W3u000009PE2lEAG;"";CDB
a0W3u000009PE2qEAG;"";CDB
a0W3u000009PE2vEAG;"";CDB
a0W3u000009PE30EAG;"";CDB
a0W3u000009PE35EAG;"";CDB
a0W3u000009PE3AEAW;"";CDB
a0W3u000009PE3FEAW;"";CDB
a0W3u000009PE3KEAW;"";CDB
a0W3u000009PE3PEAW;"";CDB
a0W3u000009PE3UEAW;"";CDB
a0W3u000009PE3ZEAW;"";CDB
a0W3u000009PE3eEAG;"";CDB
a0W3u000009PE3jEAG;"";CDB
a0W3u000009PE3oEAG;"";CDB
a0W3u000009PE3tEAG;"";CDB
a0W3u000009PE3yEAG;"";CDB
a0W3u000009PE43EAG;"";CDB
a0W3u000009PE48EAG;"";CDB
a0W3u000009PE4IEAW;"";CDB
a0W3u000009PE4NEAW;"";CDB
a0W3u000009PE4SEAW;"";CDB
a0W3u000009PE4XEAW;FIC de Fundo Multimercado;PORTO SEGURO ALOCAÇÃO FIC FIM
a0W3u000009PE4hEAG;"";LCI
a0W3u000009PE4mEAG;"";CDB
a0W3u000009PE4rEAG;"";CDB
a0W3u000009PE4wEAG;"";CDB
a0W3u000009PE51EAG;"";CDB
a0W3u000009PE56EAG;"";CDB
a0W3u000009PE5BEAW;"";CDB
a0W3u000009PE5GEAW;"";CDB
a0W3u000009PE5LEAW;FIC de Fundo Multimercado;PORTO SEGURO MACRO FIC FIM
a0W3u000009PE5fEAG;FIC de Fundo de Renda Fixa;PORTO SEGURO CLÁSSICO RF FICFI LP
a0W3u000009PE6YEAW;FIC de Fundo de Renda Fixa;PORTO SEGURO IMA-B5 FIC DE FI RF LP
a0W3u000009PE8yEAG;FIC de Fundo de Ações;PORTO SEGURO SELECTA FIC FIA
a0W3u000009PE9DEAW;Fundo de Renda Fixa;PORTO SEGURO FI RF REF DI CREDITO PRIVAD
a0W3u000009PE9IEAW;FIC de Fundo de Renda Fixa;PORTO SEGURO JURO REAL FIC FI RF LP
a0W3u00000AdCAQEA3;"";CDB
a0W3u00000AdCAVEA3;"";CDB
a0W3u00000AdCAaEAN;"";CDB
a0W3u00000AdCAfEAN;"";CDB
a0W3u00000AdCAuEAN;"";CDB
a0W3u00000AdCB9EAN;"";CDB
a0W3u00000AdCBEEA3;"";CDB
a0W3u00000AdCBOEA3;"";CDB
a0W3u00000AdCBYEA3;"";CDB
a0W3u00000AdCBdEAN;"";CDB
a0W3u00000AdCBnEAN;"";CDB
a0W3u00000AdCBxEAN;"";CDB
a0W3u00000AdCC7EAN;"";CDB
a0W3u00000AdCCgEAN;"";CDB
a0W3u00000AdCCvEAN;"";CDB
a0W3u00000AdCD5EAN;"";CDB
a0W3u00000AdCDPEA3;"";CDB
a0W3u00000AdCDUEA3;"";CDB
a0W3u00000AdCDZEA3;"";CDB
a0W3u00000AdCDeEAN;"";CDB
a0W3u00000AdCDjEAN;"";CDB
